,County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
0,Albany,Albany City PD,2018,12.0,3968.0,822.0,12.0,51.0,209.0,550.0,3146.0,432.0,2584.0,130.0,Non-New York City
1,Albany,Albany County Park PD,2018,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
2,Albany,Albany County Sheriff,2018,12.0,130.0,16.0,0.0,6.0,0.0,10.0,114.0,19.0,82.0,13.0,Non-New York City
3,Albany,Albany County State Police,2018,12.0,158.0,30.0,0.0,25.0,0.0,5.0,128.0,5.0,121.0,2.0,Non-New York City
4,Albany,Altamont Vg PD,2018,12.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,Non-New York City
5,Albany,Bethlehem Town PD,2018,12.0,526.0,27.0,0.0,8.0,3.0,16.0,499.0,28.0,466.0,5.0,Non-New York City
6,Albany,Coeymans Town PD,2018,12.0,78.0,7.0,0.0,0.0,0.0,7.0,71.0,9.0,56.0,6.0,Non-New York City
7,Albany,Cohoes City PD,2018,12.0,242.0,46.0,1.0,5.0,9.0,31.0,196.0,25.0,158.0,13.0,Non-New York City
8,Albany,Colonie Town PD,2018,12.0,1936.0,80.0,0.0,3.0,25.0,52.0,1856.0,130.0,1678.0,48.0,Non-New York City
9,Albany,County Total,2018,11.727994705493051,8355.0,1110.0,13.0,118.0,260.0,719.0,7245.0,754.0,6264.0,227.0,Non-New York City
10,Albany,Green Island Vg PD,2018,12.0,39.0,7.0,0.0,5.0,0.0,2.0,32.0,6.0,26.0,0.0,Non-New York City
11,Albany,Guilderland Town PD,2018,12.0,714.0,27.0,0.0,8.0,6.0,13.0,687.0,31.0,652.0,4.0,Non-New York City
12,Albany,Menands Vg PD,2018,12.0,145.0,5.0,0.0,0.0,2.0,3.0,140.0,10.0,128.0,2.0,Non-New York City
13,Albany,SUNY Police - Albany,2018,12.0,149.0,7.0,0.0,4.0,1.0,2.0,142.0,20.0,122.0,0.0,Non-New York City
14,Albany,Watervliet City PD,2018,12.0,262.0,36.0,0.0,3.0,5.0,28.0,226.0,38.0,184.0,4.0,Non-New York City
15,Allegany,Alfred Vg PD,2018,12.0,22.0,6.0,0.0,1.0,2.0,3.0,16.0,6.0,10.0,0.0,Non-New York City
16,Allegany,Allegany County Sheriff,2018,12.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Non-New York City
17,Allegany,Allegany County State Police,2018,12.0,262.0,43.0,1.0,24.0,1.0,17.0,219.0,70.0,138.0,11.0,Non-New York City
18,Allegany,Angelica Vg PD,2018,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
19,Allegany,County Total,2018,11.727994705493051,457.0,75.0,1.0,29.0,4.0,41.0,382.0,86.0,283.0,13.0,Non-New York City
20,Allegany,Cuba Town PD,2018,12.0,41.0,3.0,0.0,2.0,0.0,1.0,38.0,4.0,34.0,0.0,Non-New York City
21,Allegany,Friendship Town PD,2018,12.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,Non-New York City
22,Allegany,Independence Town PD,2018,12.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,Non-New York City
23,Allegany,SUNY Police - Alfred,2018,12.0,37.0,2.0,0.0,1.0,1.0,0.0,35.0,2.0,33.0,0.0,Non-New York City
24,Allegany,Wellsville Vg PD,2018,12.0,81.0,14.0,0.0,0.0,0.0,14.0,67.0,3.0,63.0,1.0,Non-New York City
25,Bronx,County Total,2018,12.0,35355.0,12514.0,91.0,662.0,3213.0,8548.0,22841.0,2095.0,19434.0,1312.0,New York City
26,Broome,Binghamton City PD,2018,12.0,2219.0,326.0,3.0,40.0,75.0,208.0,1893.0,427.0,1407.0,59.0,Non-New York City
27,Broome,Broome County Sheriff,2018,12.0,557.0,44.0,0.0,17.0,5.0,22.0,513.0,72.0,418.0,23.0,Non-New York City
28,Broome,Broome County State Police,2018,12.0,528.0,77.0,0.0,36.0,2.0,39.0,451.0,72.0,355.0,24.0,Non-New York City
29,Broome,County Total,2018,11.727994705493051,5134.0,601.0,7.0,127.0,109.0,358.0,4533.0,754.0,3634.0,145.0,Non-New York City
30,Broome,Deposit Vg PD,2018,12.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,0.0,Non-New York City
31,Broome,Endicott Vg PD,2018,12.0,467.0,70.0,0.0,17.0,14.0,39.0,397.0,62.0,327.0,8.0,Non-New York City
32,Broome,Johnson City Vg PD,2018,12.0,660.0,64.0,3.0,13.0,12.0,36.0,596.0,84.0,493.0,19.0,Non-New York City
33,Broome,Port Dickinson Vg PD,2018,12.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,11.0,0.0,Non-New York City
34,Broome,SUNY Police - Binghamton,2018,12.0,136.0,2.0,1.0,1.0,0.0,0.0,134.0,6.0,128.0,0.0,Non-New York City
35,Broome,Vestal Town PD,2018,12.0,539.0,18.0,0.0,3.0,1.0,14.0,521.0,20.0,489.0,12.0,Non-New York City
36,Cattaraugus,Allegany Vg PD,2018,12.0,12.0,2.0,0.0,0.0,0.0,2.0,10.0,1.0,9.0,0.0,Non-New York City
37,Cattaraugus,Cattaraugus County Park PD,2018,12.0,6.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,Non-New York City
38,Cattaraugus,Cattaraugus County Sheriff,2018,12.0,287.0,33.0,2.0,10.0,1.0,20.0,254.0,55.0,184.0,15.0,Non-New York City
39,Cattaraugus,Cattaraugus County State Police,2018,12.0,232.0,28.0,0.0,16.0,1.0,11.0,204.0,30.0,159.0,15.0,Non-New York City
40,Cattaraugus,Cattaraugus Vg PD,2018,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Non-New York City
41,Cattaraugus,County Total,2018,11.727994705493051,1078.0,122.0,2.0,36.0,8.0,76.0,956.0,145.0,765.0,46.0,Non-New York City
42,Cattaraugus,Ellicottville Town PD,2018,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,Non-New York City
43,Cattaraugus,Franklinville Vg PD,2018,12.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,Non-New York City
44,Cattaraugus,Olean City PD,2018,12.0,447.0,44.0,0.0,9.0,4.0,31.0,403.0,41.0,353.0,9.0,Non-New York City
45,Cattaraugus,Salamanca City PD,2018,12.0,76.0,14.0,0.0,0.0,2.0,12.0,62.0,16.0,39.0,7.0,Non-New York City
46,Cayuga,Auburn City PD,2018,12.0,855.0,137.0,0.0,20.0,26.0,91.0,718.0,85.0,602.0,31.0,Non-New York City
47,Cayuga,Cayuga County Park PD,2018,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
48,Cayuga,Cayuga County Sheriff,2018,12.0,184.0,11.0,0.0,2.0,1.0,8.0,173.0,32.0,138.0,3.0,Non-New York City
49,Cayuga,Cayuga County State Police,2018,12.0,181.0,47.0,0.0,24.0,2.0,21.0,134.0,18.0,106.0,10.0,Non-New York City
50,Cayuga,County Total,2018,11.727994705493051,1233.0,195.0,0.0,46.0,29.0,120.0,1038.0,135.0,859.0,44.0,Non-New York City
51,Cayuga,Moravia Vg PD,2018,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
52,Cayuga,Port Byron Vg PD,2018,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
53,Cayuga,Weedsport Vg PD,2018,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,Non-New York City
54,Chautauqua,Carroll Town PD,2018,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,Non-New York City
55,Chautauqua,Chautauqua County Park PD,2018,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
56,Chautauqua,Chautauqua County Sheriff,2018,12.0,459.0,62.0,0.0,26.0,9.0,27.0,397.0,116.0,253.0,28.0,Non-New York City
57,Chautauqua,Chautauqua County State Police,2018,12.0,179.0,27.0,1.0,18.0,1.0,7.0,152.0,25.0,119.0,8.0,Non-New York City
58,Chautauqua,County Total,2018,11.727994705493051,2644.0,358.0,2.0,95.0,53.0,208.0,2286.0,473.0,1736.0,77.0,Non-New York City
59,Chautauqua,Dunkirk City PD,2018,12.0,195.0,24.0,0.0,0.0,8.0,16.0,171.0,48.0,118.0,5.0,Non-New York City
60,Chautauqua,Ellicott Town PD,2018,12.0,169.0,7.0,0.0,0.0,3.0,4.0,162.0,19.0,138.0,5.0,Non-New York City
61,Chautauqua,Fredonia Vg PD,2018,12.0,166.0,7.0,0.0,0.0,4.0,3.0,159.0,20.0,136.0,3.0,Non-New York City
62,Chautauqua,Jamestown City PD,2018,12.0,1044.0,227.0,1.0,48.0,28.0,150.0,817.0,191.0,602.0,24.0,Non-New York City
63,Chautauqua,Lakewood-Busti PD,2018,12.0,356.0,1.0,0.0,0.0,0.0,1.0,355.0,41.0,311.0,3.0,Non-New York City
64,Chautauqua,SUNY Police - Fredonia,2018,12.0,58.0,2.0,0.0,2.0,0.0,0.0,56.0,10.0,46.0,0.0,Non-New York City
65,Chautauqua,Westfield Vg PD,2018,12.0,10.0,1.0,0.0,1.0,0.0,0.0,9.0,2.0,6.0,1.0,Non-New York City
66,Chemung,Chemung County Sheriff,2018,12.0,254.0,10.0,0.0,3.0,3.0,4.0,244.0,31.0,211.0,2.0,Non-New York City
67,Chemung,Chemung County State Police,2018,12.0,254.0,50.0,0.0,16.0,0.0,34.0,204.0,19.0,177.0,8.0,Non-New York City
68,Chemung,County Total,2018,11.727994705493051,1438.0,134.0,3.0,19.0,25.0,87.0,1304.0,198.0,1073.0,33.0,Non-New York City
69,Chemung,Elmira City PD,2018,12.0,772.0,70.0,3.0,0.0,21.0,46.0,702.0,131.0,553.0,18.0,Non-New York City
70,Chemung,Elmira Heights Vg PD,2018,12.0,61.0,3.0,0.0,0.0,1.0,2.0,58.0,10.0,45.0,3.0,Non-New York City
71,Chemung,Elmira Town PD,2018,12.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Non-New York City
72,Chemung,Horseheads Vg PD,2018,12.0,95.0,0.0,0.0,0.0,0.0,0.0,95.0,7.0,87.0,1.0,Non-New York City
73,Chenango,Bainbridge Vg PD,2018,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,Non-New York City
74,Chenango,Chenango County Park PD,2018,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
75,Chenango,Chenango County Sheriff,2018,12.0,284.0,15.0,0.0,6.0,1.0,8.0,269.0,56.0,208.0,5.0,Non-New York City
76,Chenango,Chenango County State Police,2018,12.0,185.0,39.0,0.0,30.0,0.0,9.0,146.0,35.0,103.0,8.0,Non-New York City
77,Chenango,County Total,2018,11.727994705493051,707.0,86.0,1.0,52.0,3.0,30.0,621.0,108.0,498.0,15.0,Non-New York City
78,Chenango,Greene Vg PD,2018,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,9.0,0.0,Non-New York City
79,Chenango,New Berlin Town PD,2018,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,9.0,0.0,Non-New York City
80,Chenango,Norwich City PD,2018,12.0,201.0,31.0,1.0,16.0,1.0,13.0,170.0,14.0,154.0,2.0,Non-New York City
81,Chenango,Oxford Vg PD,2018,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
82,Chenango,Sherburne Vg PD,2018,12.0,11.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0,Non-New York City
83,Clinton,Clinton County Park PD,2018,12.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
84,Clinton,Clinton County Sheriff,2018,12.0,40.0,13.0,0.0,0.0,0.0,13.0,27.0,1.0,25.0,1.0,Non-New York City
85,Clinton,Clinton County State Police,2018,12.0,699.0,123.0,2.0,76.0,4.0,41.0,576.0,104.0,450.0,22.0,Non-New York City
86,Clinton,County Total,2018,11.727994705493051,1146.0,174.0,2.0,87.0,9.0,76.0,972.0,139.0,804.0,29.0,Non-New York City
87,Clinton,Plattsburgh City PD,2018,12.0,347.0,35.0,0.0,9.0,5.0,21.0,312.0,32.0,274.0,6.0,Non-New York City
88,Clinton,SUNY Police - Plattsburgh,2018,12.0,57.0,3.0,0.0,2.0,0.0,1.0,54.0,2.0,52.0,0.0,Non-New York City
89,Columbia,Chatham Vg PD,2018,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
90,Columbia,Columbia County Park PD,2018,7.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
91,Columbia,Columbia County Sheriff,2018,12.0,317.0,27.0,0.0,12.0,0.0,15.0,290.0,55.0,226.0,9.0,Non-New York City
92,Columbia,Columbia County State Police,2018,12.0,190.0,42.0,0.0,25.0,0.0,17.0,148.0,22.0,121.0,5.0,Non-New York City
93,Columbia,County Total,2018,11.727994705493051,888.0,102.0,1.0,44.0,0.0,57.0,786.0,109.0,659.0,18.0,Non-New York City
94,Columbia,Greenport Town PD,2018,12.0,166.0,1.0,0.0,0.0,0.0,1.0,165.0,0.0,164.0,1.0,Non-New York City
95,Columbia,Hudson City PD,2018,12.0,194.0,32.0,1.0,7.0,0.0,24.0,162.0,31.0,128.0,3.0,Non-New York City
96,Columbia,Philmont Vg PD,2018,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,9.0,0.0,Non-New York City
97,Columbia,Stockport Town PD,2018,11.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,Non-New York City
98,Cortland,Cortland City PD,2018,12.0,344.0,28.0,1.0,7.0,6.0,14.0,316.0,66.0,241.0,9.0,Non-New York City
99,Cortland,Cortland County Sheriff,2018,12.0,249.0,14.0,1.0,5.0,4.0,4.0,235.0,58.0,168.0,9.0,Non-New York City
100,Cortland,Cortland County State Police,2018,12.0,140.0,13.0,0.0,11.0,0.0,2.0,127.0,20.0,103.0,4.0,Non-New York City
101,Cortland,County Total,2018,11.727994705493051,775.0,58.0,2.0,25.0,10.0,21.0,717.0,157.0,537.0,23.0,Non-New York City
102,Cortland,Homer Vg PD,2018,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,Non-New York City
103,Cortland,SUNY Police - Cortland,2018,12.0,37.0,3.0,0.0,2.0,0.0,1.0,34.0,10.0,23.0,1.0,Non-New York City
104,Delaware,Colchester Town PD,2018,12.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,11.0,1.0,Non-New York City
105,Delaware,County Total,2018,11.727994705493051,582.0,75.0,1.0,31.0,3.0,40.0,507.0,91.0,400.0,16.0,Non-New York City
106,Delaware,Delaware County Sheriff,2018,12.0,177.0,31.0,0.0,15.0,1.0,15.0,146.0,39.0,98.0,9.0,Non-New York City
107,Delaware,Delaware County State Police,2018,12.0,179.0,28.0,1.0,11.0,2.0,14.0,151.0,26.0,120.0,5.0,Non-New York City
108,Delaware,Delhi Vg PD,2018,12.0,38.0,2.0,0.0,0.0,0.0,2.0,36.0,4.0,32.0,0.0,Non-New York City
109,Delaware,Hancock Vg PD,2018,12.0,16.0,3.0,0.0,1.0,0.0,2.0,13.0,4.0,9.0,0.0,Non-New York City
110,Delaware,NYC-DEPP - Beerston PCT,2018,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,Non-New York City
111,Delaware,Sidney Vg PD,2018,12.0,104.0,7.0,0.0,2.0,0.0,5.0,97.0,12.0,84.0,1.0,Non-New York City
112,Delaware,SUNY Police - Delhi,2018,12.0,46.0,4.0,0.0,2.0,0.0,2.0,42.0,2.0,40.0,0.0,Non-New York City
113,Dutchess,Beacon City PD,2018,12.0,214.0,26.0,0.0,2.0,11.0,13.0,188.0,38.0,142.0,8.0,Non-New York City
114,Dutchess,County Total,2018,11.727994705493051,3584.0,531.0,6.0,113.0,102.0,310.0,3053.0,346.0,2576.0,131.0,Non-New York City
115,Dutchess,Dutchess County MTA,2018,12.0,11.0,2.0,0.0,0.0,1.0,1.0,9.0,1.0,8.0,0.0,Non-New York City
116,Dutchess,Dutchess County Park PD,2018,7.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,Non-New York City
117,Dutchess,Dutchess County Sheriff,2018,12.0,423.0,38.0,0.0,13.0,3.0,22.0,385.0,48.0,322.0,15.0,Non-New York City
118,Dutchess,Dutchess County State Police,2018,12.0,640.0,174.0,1.0,55.0,4.0,114.0,466.0,58.0,380.0,28.0,Non-New York City
119,Dutchess,East Fishkill Town PD,2018,11.0,132.0,9.0,0.0,5.0,0.0,4.0,123.0,17.0,100.0,6.0,Non-New York City
120,Dutchess,Fishkill Town PD,2018,12.0,171.0,10.0,0.0,2.0,3.0,5.0,161.0,10.0,146.0,5.0,Non-New York City
121,Dutchess,Fishkill Vg PD,2018,12.0,29.0,2.0,0.0,0.0,1.0,1.0,27.0,0.0,27.0,0.0,Non-New York City
122,Dutchess,Hyde Park Town PD,2018,12.0,100.0,9.0,0.0,2.0,3.0,4.0,91.0,19.0,70.0,2.0,Non-New York City
123,Dutchess,Millerton Vg PD,2018,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
124,Dutchess,Pine Plains Town PD,2018,12.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,Non-New York City
125,Dutchess,Poughkeepsie City PD,2018,12.0,710.0,216.0,5.0,26.0,59.0,126.0,494.0,85.0,374.0,35.0,Non-New York City
126,Dutchess,Poughkeepsie Town PD,2018,12.0,1062.0,42.0,0.0,8.0,17.0,17.0,1020.0,62.0,934.0,24.0,Non-New York City
127,Dutchess,Red Hook Vg PD,2018,6.0,13.0,2.0,0.0,0.0,0.0,2.0,11.0,3.0,8.0,0.0,Non-New York City
128,Dutchess,Rhinebeck Vg PD,2018,12.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,27.0,1.0,Non-New York City
129,Dutchess,Wappingers Falls Vg PD,2018,8.0,42.0,1.0,0.0,0.0,0.0,1.0,41.0,2.0,32.0,7.0,Non-New York City
130,Erie,Akron Vg PD,2018,12.0,11.0,1.0,0.0,0.0,0.0,1.0,10.0,5.0,5.0,0.0,Non-New York City
131,Erie,Amherst Town PD,2018,12.0,1912.0,145.0,0.0,25.0,49.0,71.0,1767.0,193.0,1531.0,43.0,Non-New York City
132,Erie,Blasdell Vg PD,2018,3.0,20.0,4.0,0.0,0.0,2.0,2.0,16.0,6.0,10.0,0.0,Non-New York City
133,Erie,Brant Town PD,2018,12.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,8.0,2.0,Non-New York City
134,Erie,Buffalo City PD,2018,12.0,12539.0,2691.0,57.0,167.0,906.0,1561.0,9848.0,2271.0,6705.0,872.0,Non-New York City
135,Erie,Cheektowaga Town PD,2018,12.0,2345.0,189.0,0.0,17.0,71.0,101.0,2156.0,259.0,1810.0,87.0,Non-New York City
136,Erie,County Total,2018,11.727994705493051,22918.0,3532.0,58.0,305.0,1121.0,2048.0,19386.0,3495.0,14719.0,1172.0,Non-New York City
137,Erie,Depew Vg PD,2018,12.0,262.0,12.0,0.0,4.0,3.0,5.0,250.0,47.0,194.0,9.0,Non-New York City
138,Erie,East Aurora-Town Of Aurora PD,2018,12.0,80.0,1.0,0.0,0.0,0.0,1.0,79.0,8.0,69.0,2.0,Non-New York City
139,Erie,Eden Town PD,2018,12.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,30.0,1.0,Non-New York City
140,Erie,Erie County Park PD,2018,12.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,Non-New York City
141,Erie,Erie County Sheriff,2018,12.0,621.0,45.0,0.0,0.0,9.0,36.0,576.0,79.0,475.0,22.0,Non-New York City
142,Erie,Erie County State Police,2018,12.0,261.0,35.0,1.0,16.0,0.0,18.0,226.0,24.0,189.0,13.0,Non-New York City
143,Erie,Evans Town PD,2018,12.0,200.0,22.0,0.0,7.0,1.0,14.0,178.0,31.0,139.0,8.0,Non-New York City
144,Erie,Gowanda Vg PD,2018,12.0,41.0,6.0,0.0,0.0,0.0,6.0,35.0,4.0,29.0,2.0,Non-New York City
145,Erie,Hamburg Town PD,2018,12.0,929.0,41.0,0.0,0.0,8.0,33.0,888.0,93.0,785.0,10.0,Non-New York City
146,Erie,Hamburg Vg PD,2018,12.0,105.0,8.0,0.0,0.0,0.0,8.0,97.0,18.0,76.0,3.0,Non-New York City
147,Erie,Kenmore Vg PD,2018,12.0,199.0,14.0,0.0,0.0,5.0,9.0,185.0,20.0,159.0,6.0,Non-New York City
148,Erie,Lackawanna City PD,2018,12.0,385.0,70.0,0.0,11.0,14.0,45.0,315.0,71.0,215.0,29.0,Non-New York City
149,Erie,Lancaster Town PD,2018,12.0,426.0,21.0,0.0,9.0,1.0,11.0,405.0,40.0,356.0,9.0,Non-New York City
150,Erie,Orchard Park Town PD,2018,12.0,359.0,28.0,0.0,8.0,5.0,15.0,331.0,30.0,295.0,6.0,Non-New York City
151,Erie,SUNY Police - Buffalo,2018,12.0,206.0,8.0,0.0,5.0,0.0,3.0,198.0,23.0,173.0,2.0,Non-New York City
152,Erie,SUNY Police - Buffalo State College,2018,12.0,144.0,13.0,0.0,5.0,6.0,2.0,131.0,4.0,127.0,0.0,Non-New York City
153,Erie,Tonawanda City PD,2018,12.0,272.0,27.0,0.0,10.0,4.0,13.0,245.0,35.0,205.0,5.0,Non-New York City
154,Erie,Tonawanda Town PD,2018,12.0,852.0,89.0,0.0,6.0,24.0,59.0,763.0,110.0,623.0,30.0,Non-New York City
155,Erie,West Seneca Town PD,2018,12.0,692.0,62.0,0.0,15.0,13.0,34.0,630.0,113.0,506.0,11.0,Non-New York City
156,Essex,County Total,2018,11.727994705493051,292.0,52.0,2.0,29.0,0.0,21.0,240.0,50.0,184.0,6.0,Non-New York City
157,Essex,Essex County Sheriff,2018,12.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,Non-New York City
158,Essex,Essex County State Police,2018,12.0,218.0,33.0,1.0,21.0,0.0,11.0,185.0,43.0,139.0,3.0,Non-New York City
159,Essex,Lake Placid Vg PD,2018,11.0,20.0,1.0,0.0,1.0,0.0,0.0,19.0,3.0,15.0,1.0,Non-New York City
160,Essex,Ticonderoga Town PD,2018,12.0,50.0,17.0,1.0,7.0,0.0,9.0,33.0,4.0,28.0,1.0,Non-New York City
161,Franklin,County Total,2018,11.727994705493051,515.0,70.0,0.0,47.0,2.0,21.0,445.0,84.0,339.0,22.0,Non-New York City
162,Franklin,Franklin County State Police,2018,12.0,296.0,50.0,0.0,35.0,0.0,15.0,246.0,65.0,162.0,19.0,Non-New York City
163,Franklin,Malone Vg PD,2018,12.0,116.0,9.0,0.0,6.0,0.0,3.0,107.0,10.0,97.0,0.0,Non-New York City
164,Franklin,Saranac Lake Vg PD,2018,12.0,36.0,6.0,0.0,4.0,0.0,2.0,30.0,1.0,29.0,0.0,Non-New York City
165,Franklin,Tupper Lake Vg PD,2018,12.0,67.0,5.0,0.0,2.0,2.0,1.0,62.0,8.0,51.0,3.0,Non-New York City
166,Fulton,County Total,2018,11.727994705493051,940.0,144.0,0.0,51.0,14.0,79.0,796.0,94.0,676.0,26.0,Non-New York City
167,Fulton,Fulton County Sheriff,2018,12.0,229.0,25.0,0.0,6.0,1.0,18.0,204.0,20.0,176.0,8.0,Non-New York City
168,Fulton,Fulton County State Police,2018,12.0,101.0,23.0,0.0,12.0,1.0,10.0,78.0,24.0,52.0,2.0,Non-New York City
169,Fulton,Gloversville City PD,2018,12.0,446.0,83.0,0.0,29.0,9.0,45.0,363.0,39.0,310.0,14.0,Non-New York City
170,Fulton,Johnstown City PD,2018,12.0,163.0,13.0,0.0,4.0,3.0,6.0,150.0,11.0,137.0,2.0,Non-New York City
171,Fulton,Northville Vg PD,2018,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
172,Genesee,Batavia City PD,2018,12.0,433.0,63.0,3.0,7.0,14.0,39.0,370.0,61.0,290.0,19.0,Non-New York City
173,Genesee,County Total,2018,11.727994705493051,945.0,129.0,4.0,32.0,15.0,78.0,816.0,116.0,655.0,45.0,Non-New York City
174,Genesee,Genesee County Park PD,2018,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
175,Genesee,Genesee County Sheriff,2018,12.0,332.0,48.0,1.0,18.0,1.0,28.0,284.0,35.0,231.0,18.0,Non-New York City
176,Genesee,Genesee County State Police,2018,12.0,116.0,12.0,0.0,6.0,0.0,6.0,104.0,7.0,89.0,8.0,Non-New York City
177,Genesee,LeRoy Vg PD,2018,12.0,62.0,6.0,0.0,1.0,0.0,5.0,56.0,13.0,43.0,0.0,Non-New York City
178,Greene,Cairo Town PD,2018,12.0,43.0,3.0,0.0,0.0,0.0,3.0,40.0,13.0,26.0,1.0,Non-New York City
179,Greene,Catskill Vg PD,2018,12.0,142.0,11.0,0.0,2.0,0.0,9.0,131.0,6.0,124.0,1.0,Non-New York City
180,Greene,County Total,2018,11.727994705493051,605.0,113.0,1.0,40.0,1.0,71.0,492.0,106.0,379.0,7.0,Non-New York City
181,Greene,Coxsackie Vg PD,2018,12.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,Non-New York City
182,Greene,Durham Town PD,2018,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,Non-New York City
183,Greene,Greene County Sheriff,2018,12.0,26.0,6.0,0.0,0.0,0.0,6.0,20.0,12.0,7.0,1.0,Non-New York City
184,Greene,Greene County State Police,2018,12.0,382.0,92.0,1.0,38.0,1.0,52.0,290.0,74.0,212.0,4.0,Non-New York City
185,Greene,Windham Town PD,2018,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,Non-New York City
186,Hamilton,County Total,2018,11.727994705493051,46.0,3.0,0.0,0.0,1.0,2.0,43.0,19.0,24.0,0.0,Non-New York City
187,Hamilton,Hamilton County Sheriff,2018,12.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,Non-New York City
188,Hamilton,Hamilton County State Police,2018,12.0,39.0,3.0,0.0,0.0,1.0,2.0,36.0,17.0,19.0,0.0,Non-New York City
189,Hamilton,Inlet Town PD,2018,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
190,Herkimer,County Total,2018,11.727994705493051,642.0,72.0,0.0,22.0,6.0,44.0,570.0,125.0,421.0,24.0,Non-New York City
191,Herkimer,Dolgeville Vg PD,2018,12.0,8.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,0.0,Non-New York City
192,Herkimer,Frankfort Town PD,2018,12.0,6.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0,1.0,Non-New York City
193,Herkimer,Frankfort Vg PD,2018,12.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,10.0,2.0,Non-New York City
